date,open,high,low,close,change,change_percentage,volume,short_selling,margin_trading,investment_trust,dealer,foreign_invenstor,ma,bband_up,bband_down
2010/11/12,63.6,64,63,63,-0.7,-1.1,29717.715,5078,18651,495,-396,-10552,62.69,65.06056955,60.31943045
2010/11/15,63.8,64,63.2,63.9,0.9,1.43,27654.865,5591,17678,-8,235,11511,62.86,65.05945448,60.66054552
2010/11/16,64.3,64.7,64.1,64.5,0.6,0.94,57574.94,6062,17942,-66,561,22254,63.05,65.12316184,60.97683816
2010/11/17,64.2,64.5,63.6,63.8,-0.7,-1.09,51389.635,5966,18102,1897,-4,-3842,63.19,65.05858235,61.32141765
2010/11/18,63.7,63.9,63,63.3,-0.5,-0.78,39098.639,5121,19407,-148,687,-18826,63.305,64.88040471,61.72959529
2010/11/19,63.6,64,63,63.7,0.4,0.63,23828.288,5096,19261,9,-61,-3569,63.4,64.82267354,61.97732646
2010/11/22,63.6,64.3,63.2,63.8,0.1,0.16,25455.014,5374,17682,-1821,158,11387,63.49,64.76734099,62.21265901
2010/11/23,63.7,63.8,63.3,63.4,-0.4,-0.63,31197.401,5080,17791,-1304,-166,1559,63.545,64.70167627,62.38832373
2010/11/24,63,64,63,63.2,-0.2,-0.32,29838.835,5133,17308,250,186,10546,63.605,64.5376843,62.6723157
2010/11/25,63.8,64.5,63.5,64.4,1.2,1.9,35239.56,5694,16400,-229,-1047,17110,63.69,64.58643739,62.79356261
2010/11/26,63.9,64.5,63.9,64.4,0,0,34464.743,5895,15836,-23,-197,553,63.77,64.61876381,62.92123619
2010/11/29,64.6,64.7,63.8,64.3,-0.1,-0.16,35816.781,5809,15354,102,82,-1423,63.8,64.66925255,62.93074745
2010/11/30,63.8,64.4,63.4,63.4,-0.9,-1.4,70250.069,5527,15935,-525,613,-22027,63.76,64.61854528,62.90145472
2010/12/1,63.8,64.6,63.8,64.6,1.2,1.89,58436.751,5701,15818,-308,979,-8702,63.79,64.7141212,62.8658788
2010/12/2,65,66.4,64.9,66.2,1.6,2.48,88027.127,6122,17015,1578,3481,4024,63.935,65.3152536,62.5547464
2010/12/3,66.8,70,66.7,68.3,2.1,3.17,130917.34,7091,21001,2849,1169,27078,64.14,66.48187959,61.79812041
2010/12/6,68.9,69.5,68.4,68.5,0.2,0.29,58841.593,7285,21335,141,-1260,13002,64.37,67.33856868,61.40143132
2010/12/7,68.5,68.6,67.6,68,-0.5,-0.73,59039.512,6891,20605,88,797,9634,64.575,67.91631711,61.23368289
2010/12/8,68.6,68.7,67.8,68,0,0,47351.126,7446,21727,1059,-136,10452,64.81,68.45065928,61.16934072
2010/12/9,69,70.1,68.8,70,2,2.94,91627.105,8406,26470,-938,1856,20234,65.135,69.37446931,60.89553069
2010/12/10,69.6,69.9,69.3,69.7,-0.3,-0.43,32865.475,8377,24291,1213,349,10415,65.47,70.0285524,60.9114476
2010/12/13,70,70.4,69,69.4,-0.3,-0.43,38255.713,7807,24639,228,126,4290,65.745,70.54852995,60.94147005
2010/12/14,69.9,69.9,68.7,69,-0.4,-0.58,58489.659,7586,23645,-23,-912,8606,65.97,70.9379372,61.0020628
2010/12/15,68.6,70.1,68.5,70,1,1.45,57589.685,8357,22802,203,-2364,13797,66.28,71.43775145,61.12224855
2010/12/16,70,71.6,69.8,71.2,1.2,1.71,66209.125,8787,26206,1313,-176,13925,66.675,72.06420217,61.28579783
